usuario_id;nome;idade;bairro;plano;dt_cadastro;ativo
USR-00001;Beatriz Ferreira;28;Glória;Avulso;2023-12-24;True
USR-00002;Felipe Ferreira;24;Iririú;Mensal;2023-09-14;True
USR-00003;Larissa Mendes;50;Iririú;Avulso;2023-10-03;True
USR-00004;Felipe Ferreira;39;Centro;Avulso;2022-06-21;True
USR-00005;Beatriz Souza;49;Anita Garibaldi;Mensal;2022-08-15;True
USR-00006;Carlos Santos;48;Anita Garibaldi;Mensal;2024-09-12;True
USR-00007;André Costa;33;Saguaçu;Avulso;2022-09-21;False
USR-00008;Ana Rocha;26;Itaum;Mensal;2024-03-25;True
USR-00009;Gabriel Oliveira;32;América;Avulso;2022-07-17;True
USR-00010;Rafael Santos;46;Anita Garibaldi;Mensal;2022-02-17;False
USR-00011;Maria Oliveira;8;Centro;Anual;2022-05-06;False
USR-00012;Diego Souza;63;América;Mensal;2022-06-23;True
USR-00013;Fernanda Pereira;37;Paranaguamirim;Avulso;2022-06-17;True
USR-00014;Ana Rocha;23;Bucarein;Mensal;2023-02-09;True
USR-00015;Beatriz Pereira;45;Itaum;Avulso;2022-11-18;True
USR-00016;Pedro Santos;20;Itaum;Mensal;2023-03-21;True
USR-00017;Fernanda Pereira;25;Jardim Iririú;Avulso;2023-10-18;True
USR-00018;Leticia Silva;64;Iririú;Avulso;2022-09-21;False
USR-00019;Leticia Pereira;30;Anita Garibaldi;Mensal;2022-10-19;False
USR-00020;Camila Silva;59;Iririú;Avulso;2022-03-22;False
USR-00021;Julia Ferreira;62;Glória;Anual;2024-12-20;False
USR-00022;Maria Pereira;59;Iririú;Anual;2023-10-02;True
USR-00023;Mariana Rocha;41;Saguaçu;Mensal;2022-02-02;True
USR-00024;Patricia Santos;51;Saguaçu;Avulso;2024-10-09;True
USR-00025;Camila Santos;39;América;Avulso;2024-04-25;True
USR-00026;André Pereira;21;Centro;Avulso;2024-07-20;False
USR-00027;Camila Silva;41;Anita Garibaldi;Mensal;2024-01-16;False
USR-00028;Maria Costa;16;Anita Garibaldi;Mensal;2024-09-10;True
USR-00029;Maria Oliveira;32;Saguaçu;Anual;2024-05-16;True
USR-00030;Beatriz Oliveira;50;Centro;Avulso;2022-11-13;True
USR-00031;Patricia Rocha;23;;Anual;2023-08-03;True
USR-00032;Lucas Pereira;45;Glória;Mensal;2024-01-06;True
USR-00033;Leticia Lima;39;Jardim Iririú;Mensal;2023-07-16;False
USR-00034;Lucas Souza;59;Itaum;Anual;2023-04-11;True
USR-00035;Fernanda Oliveira;63;Jardim Iririú;Avulso;2024-03-11;True
USR-00036;Beatriz Oliveira;59;Saguaçu;Avulso;2024-06-24;True
USR-00037;Pedro Ferreira;32;Jardim Iririú;Avulso;2023-07-05;True
USR-00038;Maria Costa;53;Itaum;Mensal;2023-09-18;True
USR-00039;Diego Mendes;40;Glória;Avulso;2022-06-08;True
USR-00040;Ana Costa;56;Bucarein;Avulso;2023-02-09;True
USR-00041;Maria Ferreira;39;Paranaguamirim;Anual;2023-04-05;True
USR-00042;Fernanda Ferreira;22;América;Anual;2022-01-10;True
USR-00043;Gabriel Mendes;59;Iririú;Anual;2023-10-14;True
USR-00044;Lucas Rocha;30;Itaum;Anual;2022-03-27;False
USR-00045;Pedro Costa;46;América;Mensal;2023-10-24;True
USR-00046;Felipe Souza;17;Glória;Avulso;2023-04-25;True
USR-00047;Pedro Silva;55;Saguaçu;Mensal;2022-08-17;True
USR-00048;Felipe Santos;51;Jardim Iririú;Avulso;2023-08-10;True
USR-00049;Lucas Lima;36;Paranaguamirim;Mensal;2023-01-03;False
USR-00050;Rafael Santos;55;Glória;Avulso;2023-09-15;True
USR-00051;Rafael Mendes;30;Centro;Avulso;2022-04-19;False
USR-00052;Mateus Lima;57;Bucarein;Avulso;2023-01-02;True
USR-00053;Diego Mendes;20;Itaum;Mensal;2023-08-20;True
USR-00054;André Costa;56;Saguaçu;Anual;2024-11-16;True
USR-00055;Bruno Lima;45;Centro;Anual;2023-09-01;True
USR-00056;Patricia Souza;150;Centro;Mensal;2022-07-05;True
USR-00057;Bruno Ferreira;35;Bucarein;Avulso;2023-12-12;False
USR-00058;Mateus Lima;57;Glória;Avulso;2023-06-02;True
USR-00059;Lucas Ferreira;42;Bucarein;Mensal;2023-01-19;True
USR-00060;Leticia Pereira;23;Anita Garibaldi;Anual;2024-04-12;True
USR-00061;Maria Santos;24;Glória;Anual;2024-05-03;False
USR-00062;Gabriel Lima;18;Glória;Avulso;2023-09-15;True
USR-00063;Felipe Souza;18;Iririú;Anual;2024-05-27;True
USR-00064;Carlos Lima;35;América;Anual;2024-11-20;True
USR-00065;Mateus Lima;47;Centro;Anual;2022-03-04;False
USR-00066;Pedro Costa;23;Jardim Iririú;Avulso;2023-06-26;False
USR-00067;Mariana Pereira;22;Itaum;Anual;2023-09-12;True
USR-00068;Julia Souza;31;Anita Garibaldi;Avulso;2022-04-20;True
USR-00069;Larissa Costa;50;Anita Garibaldi;Mensal;2024-07-17;False
USR-00070;Lucas Pereira;24;Itaum;Mensal;2022-01-02;False
USR-00071;Camila Souza;40;Paranaguamirim;Avulso;2022-12-11;True
USR-00072;Fernanda Costa;45;Bucarein;Anual;2023-09-15;False
USR-00073;Beatriz Oliveira;39;Paranaguamirim;Mensal;2022-10-17;True
USR-00074;Fernanda Oliveira;58;Paranaguamirim;Avulso;2022-06-20;True
USR-00075;Larissa Ferreira;63;Iririú;Anual;2023-03-13;True
USR-00076;Patricia Rocha;60;América;Mensal;2024-12-27;True
USR-00077;Camila Mendes;50;Itaum;Avulso;2023-10-11;True
USR-00078;Fernanda Lima;42;Centro;Anual;2024-09-18;True
USR-00079;André Costa;53;Itaum;Anual;2023-12-19;True
USR-00080;Felipe Souza;63;Centro;Avulso;2023-08-27;False
USR-00081;André Mendes;62;;Anual;2022-06-11;True
USR-00082;Felipe Mendes;25;América;Mensal;2024-02-14;False
USR-00083;Leticia Lima;42;Iririú;Avulso;2024-05-26;True
USR-00084;Maria Costa;57;Saguaçu;Anual;2024-12-21;True
USR-00085;Lucas Mendes;22;Itaum;Anual;2022-10-16;True
USR-00086;Ana Oliveira;47;Saguaçu;Anual;2023-11-26;True
USR-00087;Camila Santos;55;Itaum;Anual;2024-10-08;True
USR-00088;Julia Ferreira;42;Itaum;Anual;2024-01-19;True
USR-00089;Ana Ferreira;33;Glória;Avulso;2023-03-17;False
USR-00090;Patricia Ferreira;18;América;Mensal;2024-12-20;True
USR-00091;Mariana Silva;60;Itaum;Mensal;2023-03-27;True
USR-00092;Larissa Santos;39;Centro;Avulso;2024-04-02;True
USR-00093;Gabriel Santos;29;Iririú;Anual;2024-12-04;True
USR-00094;Fernanda Mendes;44;Anita Garibaldi;Mensal;2022-01-15;True
USR-00095;Mariana Santos;44;Saguaçu;Mensal;2023-07-05;True
USR-00096;Camila Mendes;31;Jardim Iririú;Mensal;2023-12-07;False
USR-00097;Beatriz Silva;39;Iririú;Anual;2023-09-25;False
USR-00098;Gabriel Ferreira;22;América;Avulso;2024-08-28;False
USR-00099;Felipe Pereira;59;Itaum;Mensal;2024-12-02;True
USR-00100;Felipe Ferreira;39;América;Avulso;2024-03-17;True
USR-00101;Leticia Costa;50;Bucarein;Mensal;2022-09-11;True
USR-00102;Camila Rocha;57;Itaum;Avulso;2024-08-17;True
USR-00103;Larissa Costa;38;Saguaçu;Anual;2023-06-06;True
USR-00104;Fernanda Rocha;19;Itaum;Anual;2023-09-11;True
USR-00105;Ana Costa;41;Paranaguamirim;Anual;2024-06-22;False
USR-00106;Beatriz Ferreira;33;América;Avulso;2024-11-21;True
USR-00107;Carlos Ferreira;28;Itaum;Anual;2024-05-20;True
USR-00108;Felipe Souza;23;Glória;Anual;2023-04-08;False
USR-00109;Diego Costa;45;Iririú;Mensal;2023-09-10;False
USR-00110;Mateus Rocha;21;Bucarein;Avulso;2022-05-25;True
USR-00111;Bruno Santos;58;Iririú;Avulso;2023-12-07;True
USR-00112;Diego Mendes;29;Anita Garibaldi;Mensal;2024-12-16;True
USR-00113;André Lima;57;América;Anual;2023-08-12;False
USR-00114;Larissa Lima;56;Paranaguamirim;Mensal;2024-12-09;True
USR-00115;Carlos Souza;54;América;Anual;2023-02-19;True
USR-00116;Diego Ferreira;17;Paranaguamirim;Avulso;2024-09-13;True
USR-00117;Felipe Costa;19;Paranaguamirim;Anual;2023-06-25;True
USR-00118;Bruno Ferreira;37;Bucarein;Mensal;2022-05-02;True
USR-00119;Lucas Rocha;31;Iririú;Anual;2023-12-03;False
USR-00120;Rafael Ferreira;24;Iririú;Mensal;2023-08-21;True
USR-00121;Pedro Silva;-3;Anita Garibaldi;Anual;2023-12-16;True
USR-00122;Mariana Ferreira;29;Bucarein;Avulso;2022-04-27;True
USR-00123;Rafael Mendes;20;América;Avulso;2024-05-18;False
USR-00124;Mateus Silva;64;Anita Garibaldi;Avulso;2024-05-05;True
USR-00125;Leticia Ferreira;51;Glória;Anual;2022-10-24;False
USR-00126;Camila Mendes;29;Bucarein;Mensal;2024-04-08;True
USR-00127;Beatriz Costa;53;Anita Garibaldi;Avulso;2022-11-17;False
USR-00128;Bruno Silva;29;Saguaçu;Mensal;2022-11-08;True
USR-00129;André Mendes;30;Anita Garibaldi;Avulso;2022-02-14;True
USR-00130;Mateus Souza;37;América;Avulso;2023-12-16;True
USR-00131;Maria Mendes;65;Anita Garibaldi;Avulso;2022-11-25;True
